Beer,Country,Brewer,Rating,Matched Images,Used Image,Notes
Ultramour,Belgium,Ecaussinnes,5,,,"Fruit beer with sweet candied smell. Taste was a bit strange, and reminded me of a sugar free raspberry yoghurt. Surely they didn't use sweetener?! Otherwise ok."
Stewart 80,Scotland,Stewart,6,,,"Very drinkable fruity, malty beer. Pleasant."
BrewDog Born To Die,Scotland,BrewDog,8,,,"Very full on with the hops, but with a nice fruitiness rather than being overly bitter. Rich & complex, really packs a punch."
Nogne O Imperial Stout,Norway,Nøgne Ø (Hansa Borg),8,,,"Strong, rich imperial stout. The alcohol isn't overpowering as this beer is so well made, with a great balance and strong coffee notes."
Kriek Mariage Parfait (2014),Belgium,F. Boon,7,,,"Crisp, tart & well-carbonated, barely tastes of alcohol despite the strength. Very refreshing, I feel I could enjoy this even more once I'm more accustomed to the style."
Framboise Boon (2013),Belgium,F. Boon,7,,,"Crisp & tart, with nice raspberry aroma and faintly sweet. Cordial-like but a good strength of ABV to make it interesting."
Kellerbier,Germany,Köstritzer Schwarzbierbrauerei (Bitburger),5,,,"Brown in colour, crisp/carbonated with subtle flavours. There's a slight hoppy bitterness there but otherwise a bit bland. Drinkable nonetheless."
St Feuillien Brune,Belgium,St Feuillien,8,,,"Solid brown beer; very smooth, slightly sweet with the alcohol barely noticeable."
Raspberry Dog Chew,Scotland,Fallen,8,,,"Building upon the already very nice Chew Chew, this one has been enhanced with raspberries and is a more impressive beast. Fruity and thick, it's like a pudding in a glass and a very enjoyable one at that. It's 10% ABV is very well disguised by the rich, lovely flavour."
Chimay Triple/Cinq Cents,Belgium,Chimay,8,,,Smooth & easy to drink with a yeasty/spiced taste and good amount of sediment in the bottle. Great beer.
St Feuillien Cuvée de Noel,Belgium,St Feuillien,8,,,"Sadly lost a bit when I opened the bottle. Volatility aside, this is a great beer, with liquorice, treacle & spice flavours. Excellent balance and rich flavour."
I&G Rum Cask,Scotland,Innis & Gunn @ Wellpark,7,,,"I'm not a big rum fan but it definitely makes this an interesting beer with a rich, dark taste."
Betty & the Gardens,Scotland,Ayr,6,,,"Standard hoppy blonde ale, with a good bitter hop character, which doesn't overwhelm."
Rabbie's Porter,Scotland,Ayr,7,,,Decent porter with coffee flavour.
Top Out Winter 2015,Scotland,Top Out,8,,,"A very rich brew, smoky and fruity, with some sweetness. Tastes quite thick as well. Has a great complexity and balance. Excellent winter beer."
Pale Duke,Scotland,Drygate,6,,,"Big foamy head, well carbonated yet smooth pale ale, this had a very fresh, hop-dominated taste and was bitter - enjoyable, certainly not bland."
Affligem Tripel,Belgium,Affligem (Heineken),8,,,"Fairly standard Belgian triple - in that it's of a high quality and very enjoyable, with the high ABV being well disguised."
Spoum,France,Artisanale Touken,7,,,"Blackberry beer. Not much carbonation but the smell and taste are rich in fruits. Good balance of flavour and a rich, enjoyable beer."
Duchesse Anne Triple Hops,France,Lancelot,7,,,Hoppy in a good way; not very bitter with fruity/floral aroma/taste and lots of sediment in the bottle. Very pleasant beer.
La Goudale,France,De Gayant (Saint-Omer),7,,,"Fresh, sweetish, enjoyable beer. Didn't taste well due to man flu."
Hoegaarden Grand Cru,Belgium,Hoegaarden (AB InBev),8,,,Like a triple but with added oomf; wheats flavours and great balance overall.
Brigantine,France,De La Côte de Jade,7,,,I recall this had a nice flavour and was surprisingly well-balanced for a French beer!
Super U Blonde,France,UNKNOWN,7,,,"An enjoyable, smooth & very drinkable blonde. Another example of a supermarket brand beer surpassing expectations."
3 Monts,France,St. Sylvestre,8,,,"Good carbonation and foam presence. Strong, but with a great balance of hops & malt and has a great character, which is especially evident in the aftertaste. Excellent beer."
Jenlain Blonde,France,Duyck,7,,,"Sweet and slightly bitter, citrus taste, like it's mixed with grapefruit juice. Lacking complexity but a solid tasting and good beer with assertive character."
Saint Colombe Ambrée,France,Sainte Colombe,5,,,Flat and toffee-coloured. Not impressive but it has a subtle caramel taste and is very drinkable.
Ours Pale Ale,France,De L'Ours,3,,,"Highly carbonated, this tastes a bit like the brewer chucked some water, malt, yeast etc into a bucket and hopes for the best. Just doesn't taste as if the ingredients are combined to make a cohesive whole. Has an aftertaste of - essentially - fizzy water."
Grimbergen Noel,Belgium,Kronenbourg (Carlsberg),7,,,"Sweet and slightly industrial tasting, this lacks the richness and character typically found in other Belgian Xmas beers. That said, still quite enjoyable and by no means bad."
Ours Stout,France,De L'Ours,3,,,"Again, the palate is dominated by carbonated water. Flavour seems to play second fiddle in what is not a good beer."
Pere Noel,Belgium,De Ranke,8,,,"Yeasty, slightly sweet amber-coloured ale. Has an excellent balance and pleasant fizzy mouthfeel."
Queen of the Night,Mexico,,6,,,"Good balance of hops/malt, make for an interesting, subtle flavour."
Bière Ovalie,France,Duyck,6,,,"Crisp, refreshing, slightly sweet blonde beer. Good."
Ours Miel,France,De L'Ours,4,,,"Smelled like something from the medicine cabinet, didn't taste a lot better. Some subtle taste of honey but a bit overly carbonated. While poor, slightly better than the others."
Payesa,Spain,Payesa Cervecera S.L @ Cerveses La Gardènia,7,,,"Amber-coloured ale with a full-bodied rich flavour, with malts et al. Excellently balanced and very enjoyable."
Reissdorf Kolsch,Germany,Privat-Brauerei Heinrich Reissdorf,7,,,Very pleasant; light & malty; the sort of beer you could drink several of in one sitting.
St Colombe Grand Cru,France,Sainte Colombe,7,,,Dark with no head. Rich chocolatey/nutty/liquorice flavour. Despite the 10% ABV this was pleasant to drink.
Oud Beersel Framboise,Belgium,Oud Beersel,7,,,"Crisp and tart with pure red colour. Light, refreshing and barely sweet at all."
Fantome Dark White,Belgium,Fantome,8,,,"Obviously spicy; dominated by a peppery taste. The lasting impression is of bitterness. That said, it's packed with kick and character and feels great I'm the mouth, similar to other Fantome beers. A very enjoyable saison style beer with peppery edge."
Spaghetti Western,Italy,Brewfist / Prairie Artisan Ales,8,,,"Smooth, rich chocolate & coffee stout. Tastes very nice indeed, a bit like dessert in a glass."
Damh Ban,Scotland,Ayr,6,,,Hoppy but with a pleasant counterbalance of other ingredients.
Jolly Beggars,Scotland,Ayr,7,,,"Not as bitter as the name may suggest, and has a very good balance, with some fruity, as well as hoppy, elements."
Towzie Tyke,Scotland,Ayr,7,,,"Crisp and fresh on the palate, it's an enjoyable golden ale with character."
Plum Porter,England,Titanic,6,,,"Very fruity smell, but taste is more bitter and less sweet than that might suggest. Overall an enjoyable beer with hops and fruit combining to good effect."
Bill's,Scotland,Caledonian (Heineken),7,,,"Nice aroma, this is a very pleasant pale ale with good balance and a flavour that is never dull."
13 Guns,England,Thwaites,7,,,"Fruity aroma, and an interesting and complex flavour. Definitely tastes like a mix of different hops. Very enjoyable."
Dark Side of Wheat,Spain,Cervezas Virtus,6,,,"Brown, with nice fruity, caramel smell. To taste, although drinkable, it is a little watery and incomplete-tasting, but it does have a pleasant caramel and malt flavour. Ok."
Maibock,Canada,Les Trois Mousquetaires,7,,,"Cloudy amber, taste is malty and slightly sweet like honey. Quite strong alcohol but not unpleasant. Quite a good beer."
Nest Beer White Ale,Japan,Kiuchi Brewery (Hitachino),6,,,"Subtle and a bit flat, but quietly confident, like you might imagine a Japanese man of honour. Overall a pleasant, refreshing beer with a hint of orange and spice."
Carolus Christmas,Belgium,Het Anker,9,,,"Very dark, rich, smooth. Liquorice, spices, Xmas pud. Sweet, but not too sweet. High ABV but extremely well hidden. Beautiful balance. Excellent."
Mikkeller Milk Stout,Denmark,Mikkeller @ De Proefbrouwerij,6,,,"Overall smooth and a decent stout, but for me there was something - a bitterness? - there that was a bit strong. Hence the balance was a bit of a let down."
Green Gold,Denmark,Mikkeller @ De Proefbrouwerij,7,,,Hoppy beer with strong amber colour and very carbonated. A mix of fruitiness and bitterness due to the hops. Full of character and very enjoyable.
De Koninck,Belgium,De Koninck (Duvel Moortgat),7,,,"By Belgian standards, a weak beer, but this is an amber pale ale of over 5%. Has a nice malty character with a bit of sweetness there too. Good beer, and I'm sure the reputed unpasteurised draft version would be well worth seeking out."
Midnight Sun,Scotland,Williams Bros.,8,,,Smooth black porter with toasted malt flavours. The addition of ginger and oats works well and makes for an well-rounded and very enjoyable flavour overall.
Yardbird IPA,England,Greene King,7,,,"Good quality IPA, well balanced."
Beavertown Smog Rocket,England,Beavertown,7,,,"Interesting stout, full of flavour and character."
Lagunitas IPA,USA,Lagunitas Brewing Co. (Heineken),8,,,Strong IPA which appears to make great use of hops. A mix of fruity and bitter which makes overall a very satisfying brew - but don't drink too many at once!
Top Out Smoked Porter,Scotland,Top Out,7,,,"Bottle from Royal Mile whisky shop. Smooth, dark porter with rich coffee and smoked notes. Highly drinkable and with an overall satisfying flavour. Good cold weather beer."
Eden Mill Whisky Beer,scotland,Eden Mill,6,,,Creamy smell/taste and creamy in the mouth. A good balance of whisky flavour to the beer and a decent brew overall but not outstanding.
Straffe Hendrik Quad,Belgium,Halve Maan,9,,,"Good head on this. The taste is that of rich dark fruits, and the 11% alcohol is very well hidden indeed. If it wasn't Wednesday I may have drank a second one. Excellent."
Monks Stout,Belgium,Dupont,6,,,"Quite a good, if watery stout with an earthy flavour."
Vichtenaar,Belgium,Verhaeghe,8,,,"Weak by Belgian standards, a sweet & sour beer that has an excellent balance of both and is very drinkable and refreshing indeed."
